"ID","FORMULA","NAME","MW(g/mol)","TB(K)","Tc(K)","Pc(bar)","Vc(cm3/mol)","RHOC(g/cm3)","Zc","OMEGA","Dipole Moment","molecular volume","atom","Optimum_Chemical_Potential_Max","atom1","Optimum_Chemical_Potential_Min","atom2","Theta_Inverse_Max","atom3","Theta_Inverse_Min","atom4","Intensive_Atomic_softness_Max","atom5","Intensive_Atomic_Hypersoftness_Max","atom6","Intensive_Heat_Capacity_Max","atom7","Intensive_Entropy_Max","atom8","ODD_at_HOMO_Max","atom9","OAD_at_HOMO_Max","atom10","ODD_at_LUMO_Max","atom11","OAD_at_LUMO_Max","atom12","electrophilicity_intensive_MAX","atom13","thermophilicity_intensive_MAX"
"DJ1562","SO2","SULFUR DIOXIDE",64.065,263.13,430.75,78.84,122,0.5251,0.269,0.245,2.0197,499.489565,"S1",-25.863,"O2",-221.37,"O2",81.1,"S1",10.21,"S1",0.06532,"S1",0.00458,"O2",6.712,"O2",297.572,"O2",32.472,"S1",-21.015,"O2",32.282,"S1",-21.229,"O2",6.454,"S1",2.812
"DJ1281","C18H15P","TRIPHENYLPHOSPHINE",262.291,650.15,1008,78.4,554,0.4734,0.518,0.462,1.527,5294.210331,"P1",-27.253,"H20",-396.058,"H23",56.76,"P1",5.7,"P1",0.13882,"P1",0.02117,"H20",48.681,"H20",452.17,"C2",2.539,"P1",-26.713,"C2",2.505,"P1",-26.757,"P1",20.075,"P1",1.368
"DJ33","CH3NO","FORMAMIDE",45.041,493,771,78,163,0.2763,0.198,0.453,4.1912,539.3085279,"O3",-23.772,"H5",-131.835,"H2",24.14,"O3",7.92,"O3",0.09708,"O3",0.0091,"H5",31.549,"H5",154.465,"N4",3.147,"O3",-20.969,"N4",2.973,"O3",-21.152,"C1",7.349,"O3",4.206
"DJ1387","CIF3","CHLORINE TRIFLUORIDE",92.448,284.65,459.39,77.79,134.5,0.6872,0.274,0.316,0,572.674022,"Cl1",-46.1,"F2",-236.572,"F2",79.53,"Cl1",17.9,"Cl1",0.04163,"Cl1",0.00177,"F2",8.018,"F2",308.446,"F2",27.166,"Cl1",-37.995,"F2",26.998,"Cl1",-38.205,"F2",8.349,"Cl1",0.377
"DJ1577","SeOCI2","SELENIUM OXYCHLORIDE",165.865,441.15,706.8,77.47,207.8,0.7981,0.274,0.34,1.1572,973.2976965,"Se1",-103.339,"O4",-2465.016,"O4",736.17,"Se1",48.32,"Se1",0.01517,"Se1",0.00022,"O4",10.788,"O4",3205.791,"O4",192.924,"Se1",-75.909,"O4",192.841,"Se1",-76.062,"Cl2",22.157,"Se1",2.235
"DJ1392","CI2","CHLORINE",70.905,239.12,417.15,77.11,123.8,0.573,0.275,0.069,0,573.5522131,"Cl1",-119.225,"Cl1",-119.225,"Cl1",63.29,"Cl1",63.29,"Cl1",0.01226,"Cl1",0.00013,"Cl1",2.723,"Cl1",166.741,"Cl1",40.717,"Cl1",-78.508,"Cl1",40.471,"Cl1",-78.754,"Cl1",4.621,"Cl1",13.501
"DJ128","C2H6O2","ETHYLENE GLYCOL",62.068,470.45,645,75.3,191,0.325,0.268,1.137,1.4629,749.4998184,"O7",-30.674,"H8",-139.467,"H2",23.29,"O7",8.96,"O7",0.09252,"O7",0.00807,"H8",39.551,"H8",160.686,"O7",2.357,"O7",-28.316,"O7",2.21,"O7",-28.464,"H8",13.182,"O7",6.124
"DJ1393","CI2O","CHLORINE MONOXIDE",86.905,275.35,444.68,74.94,135.2,0.643,0.274,0.303,0.7915,673.5920377,"Cl1",-128.055,"O3",-425.164,"O3",145.85,"Cl1",56.49,"Cl1",0.01432,"Cl1",0.00019,"O3",7.83,"O3",566.541,"O3",51.599,"Cl1",-98.191,"O3",51.448,"Cl1",-98.397,"O3",15.701,"Cl1",13.751
"DJ499","C6H6O2","1,3-BENZENEDIOL",110.112,549.65,810,74.9,300,0.367,0.334,0.677,1.4354,1170.094412,"O1",-33.666,"H14",-135.009,"H11",20.89,"O1",8.42,"O1",0.10412,"O1",0.01017,"H14",46.858,"H14",153.762,"O1",1.441,"O1",-32.225,"O1",1.359,"O1",-32.307,"H14",25.276,"C3",0.532
"DJ498","C6H6O2","1,2-BENZENEDIOL",110.112,518.65,764,74.9,300,0.367,0.354,0.701,2.6353,1163.379684,"O1",-33.664,"H13",-135.575,"H10",20.87,"O1",8.43,"O1",0.10409,"O1",0.01017,"H13",47.645,"H13",154.227,"O2",1.444,"O1",-32.222,"O2",1.364,"O1",-32.302,"H13",27.611,"C3",0.538
"DJ41","CH5N","METHYLAMINE",31.057,266.82,430.05,74.58,154,0.2017,0.321,0.281,1.5515,526.0921895,"N5",-14.847,"H6",-76.811,"H3",14.64,"N5",4.96,"N5",0.14069,"N5",0.0214,"H6",28.659,"H6",90.358,"N5",1.81,"N5",-13.036,"N5",1.641,"N5",-13.205,"H6",3.411,"N5",3.363
"DJ500","C6H6O2","P-HYDROQUINONE",110.112,558.15,822,74.5,300,0.367,0.327,0.686,0.0019,1169.787609,"O1",-33.674,"H13",-134.936,"H10",20.88,"O1",8.43,"O1",0.1041,"O1",0.01017,"H13",46.748,"H13",153.705,"O1",1.438,"O1",-32.236,"O1",1.359,"O1",-32.315,"H13",24.958,"C3",0.526
"DJ1375","CSeS","CARBON SELENOSULFIDE",123.037,358.75,576.53,74.12,177.2,0.6944,0.274,0.316,0.2303,794.6504584,"Se3",-53.74,"C1",-3255.1,"C1",981.05,"Se3",29.25,"Se3",0.02198,"Se3",0.00048,"C1",10.61,"C1",4248.493,"C1",262.632,"Se3",-34.407,"C1",262.51,"Se3",-34.645,"S2",21.558,"Se3",5.098
"DJ27","CH2O2","FORMIC ACID",46.026,373.71,580,73.9,125,0.3682,0.192,0.473,1.568,480.1534695,"O2",-29.109,"H5",-168.195,"H4",29.97,"O3",10.05,"O3",0.07967,"O2",0.0059,"H5",34.818,"H5",195.724,"O2",3.789,"O2",-25.32,"O2",3.57,"O2",-25.539,"H5",11.708,"O3",6.188
"DJ1373","CO2","CARBON DIOXIDE",44.01,194.7,304.19,73.82,94,0.4682,0.274,0.228,0,395.7110075,"O1",-28.994,"C2",-43.846,"C2",11.94,"O1",10.74,"C2",0.0749,"C2",0.00515,"C2",9.752,"C2",46.953,"O1",4.612,"O1",-24.382,"O1",4.326,"O1",-24.668,"C2",12.051,"O1",6.188
"DJ46","CO2","CARBON DIOXIDE",44.01,194.67,304.19,73.82,94,0.4682,0.274,0.228,0,395.7110151,"O2",-28.994,"C1",-43.846,"C1",11.94,"O2",10.74,"C1",0.0749,"C1",0.00515,"C1",9.752,"C1",46.953,"O2",4.612,"O2",-24.382,"O2",4.326,"O2",-24.668,"C1",12.051,"O2",6.188
"DJ113","C2H4S","THIACYCLOPROPANE",60.114,328.07,555,73.8,151.5,0.3968,0.214,0.154,2.1939,722.510428,"S7",-11.016,"H3",-970.005,"H3",180.92,"S7",3.84,"S7",0.14362,"S7",0.02314,"H3",28.596,"H3",1150.722,"C1",19.261,"S7",-9.455,"C1",19.14,"S7",-9.638,"C2",10.915,"S7",1.04
"DJ232","C4H2O3","MALEIC ANHYDRIDE",98.058,475.15,721,72.8,219,0.4478,0.266,0.546,4.4356,887.7917373,"O1",-38.523,"H8",-159.335,"H8",27.09,"O1",10.35,"O1",0.08591,"C6",0.00687,"H8",34.36,"H9",185.827,"O2",2.199,"O2",-36.327,"O2",2.098,"O2",-36.428,"C7",22.954,"C6",1.337
"DJ1497","N2O","NITROUS OXIDE",44.013,184.67,309.57,72.45,97.4,0.452,0.274,0.142,0.1879,412.0867769,"O1",-27.133,"N3",-33.15,"N3",10.97,"O1",9.55,"O1",0.08178,"O1",0.00603,"N3",6.709,"N3",37.307,"N3",3.796,"O1",-23.376,"N3",3.576,"O1",-23.621,"N2",4.407,"O1",1.339
"DJ39","CH4S","METHYL MERCAPTAN",48.109,279.11,469.95,72.35,145,0.3318,0.268,0.146,1.8217,637.7776917,"S5",-7.65,"H2",-1113.69,"H6",220.29,"S5",2.9,"S5",0.15561,"S5",0.03224,"H2",25.918,"H2",1331.784,"C1",26.537,"S5",-6.239,"C1",26.394,"S5",-6.45,"C1",10.79,"S5",1.695
"DJ109","C2H4O","ETHYLENE OXIDE",44.053,283.85,469.15,71.94,140.3,0.314,0.259,0.198,2.1621,566.1703401,"O7",-20.099,"H5",-108.366,"H3",20.79,"O7",6.45,"O7",0.11445,"O7",0.01363,"H3",26.906,"H5",128.588,"C1",2.152,"O7",-17.954,"C1",2.017,"O7",-18.134,"C1",3.497,"O7",1.019
"DJ1444","H2Te","HYDROGEN TELLURIDE",129.616,271.15,438.04,71.93,138.7,0.9343,0.274,0.289,2.8135,768.0752204,"S1",-36.002,"H8",-856.064,"H7",133.38,"S1",10.68,"S1",0.06755,"S1",0.00496,"H8",42.905,"H8",985.778,"N5",16.268,"S1",-33.102,"N5",16.122,"S1",-33.262,"H8",17.419,"N5",0.018
"DJ86","C2H3Br","VINYL BROMIDE",106.95,288.95,473,71.8,200,0.5348,0.365,0.282,1.5863,772.8207174,"Br1",-6.942,"H4",-7648.087,"H5",1392.89,"Br1",3.17,"Br1",0.12449,"Br1",0.02441,"H4",30.08,"H4",9042.097,"C2",224.956,"Br1",-4.971,"C2",224.832,"Br1",-5.241,"C3",13.083,"H5",0.763
"DJ21","CH2Br2","DIBROMOMETHANE",173.835,370.1,611,71.7,223,0.7795,0.315,0.21,1.639,889.2753418,"Br4",-507.342,"H3",-8598.099,"H2",1515.96,"Br4",264.39,"Br4",0.00308,"Br4",1E-05,"H3",32.071,"H3",10116.034,"C1",241.951,"Br4",-341.005,"C1",241.84,"Br4",-341.285,"Br4",13.688,"Br4",19.91
"DJ85","C2H2O4","OXALIC ACID",90.036,569,804,70.2,205,0.4392,0.215,0.918,0,768.3394675,"O2",-43.027,"H4",-196.354,"H4",29.95,"O3",12.13,"O3",0.07389,"C1",0.00519,"H4",42.671,"H4",225.426,"O2",2.89,"O2",-40.137,"O2",2.767,"O2",-40.261,"H8",23.73,"C1",1.43
"DJ1367","CNBr","CYANOGEN BROMIDE",105.922,334.65,545.03,70.08,194,0.546,0.3,0.254,3.2719,634.874509,"Br1",-8.038,"C3",-3668.053,"C3",1039.09,"Br1",4.19,"Br1",0.10039,"Br1",0.01366,"C3",12.082,"C3",4715.32,"N2",327.767,"Br1",-5.093,"N2",327.58,"Br1",-5.414,"C3",13.298,"Br1",0.815
"DJ1498","N2O3","NITROGEN TRIOXIDE",76.012,275.15,425,69.9,195,0.3898,0.386,0.431,2.2359,616.5236555,"O3",-41.507,"N5",-47.936,"N5",13.25,"O3",12.33,"O3",0.07141,"O3",0.00463,"N4",10.032,"N5",53.431,"O2",3.364,"O3",-38.18,"O2",3.258,"O3",-38.285,"N4",13.125,"N4",0.415
"DJ110","C2H4OS","THIOACETIC-ACID",76.113,360.16,577.34,69.21,219.5,0.3468,0.317,0.304,3.8486,840.9761875,"S7",-19.414,"H4",-853.11,"H8",154.86,"S7",6.64,"S7",0.10257,"S7",0.0118,"H4",30.798,"H4",1006.17,"O2",17.283,"S7",-16.912,"O2",17.131,"S7",-17.105,"C1",15.782,"C1",0.565
"DJ152","C3H4O2","beta-PROPIOLACTONE",72.064,435.15,686,69.1,195,0.3696,0.236,0.345,4.6071,757.8251485,"O9",-31.67,"H6",-134.98,"H6",24.01,"O8",9.01,"O8",0.09358,"O8",0.00818,"H6",31.365,"H6",158.409,"O9",2.259,"O9",-29.411,"O9",2.118,"O9",-29.552,"C3",14.234,"C3",0.402
"DJ332","C4H10O4S","DIETHYL SULFATE",154.187,483,792,68.9,398,0.3874,0.416,0.162,1.8881,1498.4099,"S1",-39.043,"H10",-596.722,"H14",94.41,"S1",9.5,"S1",0.07907,"S1",0.00694,"H10",40.168,"H15",690.238,"O4",7.369,"S1",-37.543,"O4",7.273,"S1",-37.639,"C7",14.752,"C6",0.269
"DJ1436","HNO3","NITRIC ACID",63.013,356.15,520,68.9,145,0.4346,0.231,0.714,2.5981,517.780342,"O1",-39.156,"H5",-207.049,"H5",33.72,"O3",12.27,"O3",0.07018,"O3",0.00444,"H5",37.408,"H5",239.904,"O1",3.913,"O1",-35.243,"O1",3.736,"O1",-35.42,"H5",16.941,"N4",0.141
"DJ135","C2H7NO","MONOETHANOLAMINI",61.084,444.15,638,68.7,225,0.2715,0.291,0.797,1.1229,806.5874228,"O1",-25.688,"H11",-117.814,"H6",19.54,"O1",7.34,"O1",0.10917,"O1",0.01147,"H11",40.029,"H11",135.48,"N2",1.99,"O1",-23.848,"N2",1.87,"O1",-23.976,"H11",12.671,"O1",0.727
